No.,name,type,object1,object2,law,imgname
1,龍の秘宝,magia,龍種,null,妨害,null
2,龍の琥珀,magia,龍種,null,蘇生,null
3,龍の火炎,magia,龍種,null,破壊,null
4,究極の魔術,magia,人間,null,妨害,null
5,海超える文,magia,人間,null,移動,null
6,宝箱,magia,人間,null,手札,null
7,伏兵の書,magia,人間,null,設置,null
8,お祓い,magia,人間,null,防衛,null
9,死霊術,magia,不死,null,蘇生,null
10,藁人形,magia,不死,null,破壊,null
11,究極の蘇生術,magia,不死,null,蘇生,null
12,生贄の死霊術,magia,不死,null,蘇生,null
13,兵法の基礎,magia,汎用,null,手札,null
14,操り人形,magia,汎用,null,妨害,null
15,地理書,magia,汎用,null,防衛,null
16,時の砂時計,magia,汎用,null,移動,null
17,暴走の経典,magia,汎用,null,妨害,null
18,軽い剣,magia,汎用,null,移動,null
19,宝船,magia,汎用,null,移動,null
20,復活の棺,magia,汎用,null,蘇生,null
21,平等なる救い,magia,汎用,null,手札,null
22,妨害船,magia,汎用,null,妨害,null
23,預言書,magia,汎用,null,防衛,null
24,玉手箱,magia,汎用,null,設置,null
25,兵法書,magia,汎用,null,移動,null
26,隕石落下,magia,汎用,null,破壊,null
27,怪しい壺,magia,汎用,null,手札,null
28,高き塔,eria,龍種,null,破壊,null
29,火山島,eria,龍種,null,破壊,null
30,平原,eria,人間,null,妨害,null
31,海,eria,人間,null,特殊,null
32,魔女の居城,eria,不死,null,特殊,null
33,魔女の夕焼け,eria,不死,null,防衛,null
34,焼野原,eria,人間,不死,破壊,null
35,小屋,eria,人間,不死,防衛,null
36,謎の跡,eria,汎用,null,手札,null
37,岩場,eria,汎用,null,妨害,null
38,鍾乳洞,eria,汎用,null,移動,null
39,山道,eria,汎用,null,移動,null
40,古き都市,eria,汎用,null,手札,null
41,天見える地,eria,汎用,null,破壊,null
42,天の台地,eria,汎用,null,移動,null
43,森,eria,汎用,null,防衛,null
44,花畑,eria,汎用,null,移動,null
45,吹雪,eria,汎用,null,妨害,null
46,開けた海,eria,汎用,null,移動,null
47,オーロラ,eria,汎用,null,移動,null
48,雲の上の都市,eria,汎用,null,山札,null
49,砂漠,eria,汎用,null,妨害,null
50,嵐,eria,汎用,null,妨害,null
51,川,eria,汎用,null,手札,null
52,美しき雲海,eria,汎用,null,防衛,null
53,西洋の城,eria,汎用,null,特殊,null
