No.,name,type,object,hiL,hiC,hiR,midL,midR,lowL,lowC,lowR,imgname
1,戦う王,chara,王,1,1,1,1,1,1,1,1,tatakauou.png
2,炎の龍,chara,龍種,1,1,1,1,1,0,1,0,honoonoryuu.png
3,八岐大蛇,chara,龍種,1,0,1,0,1,1,1,1,yamatanooroti.png
4,天翔ける龍,chara,龍種,1,1,0,1,1,1,0,1,amakakeruryuu.png
5,町を食らう龍,chara,龍種,1,0,1,1,0,1,1,1,matikurauryuu.png
6,麒麟,chara,龍種,1,0,1,1,1,1,0,1,kirinn.png
7,黄金龍,chara,龍種,0,1,1,1,1,1,0,1,ougonnryuu.png
8,儀式の贄となりし者,chara,人間,0,1,0,1,1,1,0,1,gisikinonietonarisimono.png
9,宮司,chara,人間,0,1,1,1,0,0,1,0,guuzi.png
10,女侍,chara,人間,1,0,1,0,0,1,0,1,onnnazamurai.png
11,巫女,chara,人間,1,1,0,0,1,0,1,0,miko.png
12,未来の自称魔術師,chara,人間,1,1,1,0,0,0,1,0,mirainozisyoumazyutusi.png
13,儀式の笛吹き,chara,人間,0,1,0,1,1,0,1,1,gisikinohuehuki.png
14,フランケン,chara,不死,0,0,1,1,1,0,1,0,hurannkenn.png
15,ネクロマンサー,chara,不死,0,1,0,1,0,0,1,1,nekuromannsa-.png
16,エルフゾンビ,chara,不死,0,1,0,0,1,1,0,1,eruhuzonnbi.png
17,デュラハン,chara,不死,0,1,0,1,0,1,0,1,delyurahann.png
18,ヴァンパイア,chara,不死,1,0,0,1,1,0,1,0,vanpaia.png
19,ゴリゴブリン,chara,不死,0,1,0,0,1,1,1,0,gorigoburinn.png
