No.,name,type,object1,object2,law,imgname
1,龍の秘宝,magia,龍種,null,妨害,ryuunohihou.png
2,龍の琥珀,magia,龍種,null,蘇生,ryuunokohaku.png
3,龍の火炎,magia,龍種,null,破壊,ryuunokaenn.png
4,究極の魔術,magia,人間,null,妨害,kyuukyokunomazyutu.png
5,海超える文,magia,人間,null,移動,umikoeruhumi.png
6,宝箱,magia,人間,null,手札,takarabako.png
7,伏兵の書,magia,人間,null,設置,hukuheinosyo.png
8,お祓い,magia,人間,null,防衛,oharai.png
9,死霊術,magia,不死,null,蘇生,sireizyutu.png
10,藁人形,magia,不死,null,破壊,waraninngyou.png
11,究極の蘇生術,magia,不死,null,蘇生,kyuukyokunososeizyutu.png
12,生贄の死霊術,magia,不死,null,蘇生,ikenienosireizyutu.png
13,兵法の基礎,magia,汎用,null,手札,heihounokiso.png
14,操り人形,magia,汎用,null,妨害,ayaturininngyou.png
15,地理書,magia,汎用,null,防衛,tirisyo.png
16,時の砂時計,magia,汎用,null,移動,tokinosunadokei.png
17,経典の発火,magia,汎用,null,妨害,kyoutennnohakka.png
18,軽い剣,magia,汎用,null,移動,karuikenn.png
19,宝船,magia,汎用,null,移動,takarabune.png
20,復活の棺,magia,汎用,null,蘇生,hukkatunohitugi.png
21,平等なる救い,magia,汎用,null,手札,byoudounarusukui.png
22,妨害船,magia,汎用,null,妨害,bougaisenn.png
23,預言書,magia,汎用,null,防衛,yogennsyo.png
24,玉手箱,magia,汎用,null,設置,tamatebako.png
25,兵法書,magia,汎用,null,移動,heihousyo.png
26,隕石落下,magia,汎用,null,破壊,innsekirakka.png
27,怪しい壺,magia,汎用,null,手札,ayasiitubo.png
28,高き塔,eria,龍種,null,破壊,takakitou.png
29,火山島,eria,龍種,null,破壊,kazanntou.png
30,平原,eria,人間,null,妨害,heigen.png
31,海,eria,人間,null,特殊,umi.png
32,魔女の居城,eria,不死,null,特殊,mazyonokyozyou.png
33,魔女の夕焼け,eria,不死,null,防衛,mazyonoyuuyake.png
34,焼野原,eria,人間,不死,破壊,yakenohara.png
35,小屋,eria,人間,不死,防衛,koya.png
36,謎の跡,eria,汎用,null,手札,nazonoato.png
37,岩場,eria,汎用,null,移動,iwaba.png
38,鍾乳洞,eria,汎用,null,移動,syounyuudou.png
39,山道,eria,汎用,null,移動,yamamiti.png
40,古き都市,eria,汎用,null,手札,hurukitosi.png
41,天見える地,eria,汎用,null,破壊,tennmieruti.png
42,天の台地,eria,汎用,null,移動,tennnomierudaiti.png
43,森,eria,汎用,null,防衛,mori.png
44,花畑,eria,汎用,null,移動,hanabatake.png
45,吹雪,eria,汎用,null,妨害,hubuki.png
46,開けた海,eria,汎用,null,移動,hiraketaumi.png
47,オーロラ,eria,汎用,null,移動,o-rora.png
48,雲の上の都市,eria,汎用,null,山札,kumonouenotosi.png
49,砂漠,eria,汎用,null,妨害,sabaku.png
50,嵐,eria,汎用,null,妨害,arasi.png
51,川,eria,汎用,null,手札,kawa.png
52,美しき雲海,eria,汎用,null,防衛,utukusikiunnkai.png
53,西洋の城,eria,汎用,null,特殊,seiyounosiro.png
54,洋館,eria,人間,不死,蘇生,youkan.png
